Season,Team,Goals,xG,Venue,Efficiency
2018-2019,Alavés,0.0,0.6,Home,-0.6
2018-2019,Alavés,2.0,1.4,Home,0.6000000000000001
2018-2019,Alavés,1.0,1.7,Home,-0.7
2018-2019,Alavés,1.0,1.1,Home,-0.10000000000000009
2018-2019,Alavés,2.0,1.9,Home,0.10000000000000009
2018-2019,Alavés,2.0,1.3,Home,0.7
2018-2019,Alavés,1.0,1.0,Home,0.0
2018-2019,Alavés,0.0,0.5,Home,-0.5
2018-2019,Alavés,2.0,1.9,Home,0.10000000000000009
2018-2019,Alavés,0.0,1.0,Home,-1.0
2018-2019,Alavés,2.0,1.7,Home,0.30000000000000004
2018-2019,Alavés,0.0,1.4,Home,-1.4
2018-2019,Alavés,1.0,2.0,Home,-1.0
2018-2019,Alavés,0.0,0.8,Home,-0.8
2018-2019,Alavés,1.0,0.9,Home,0.09999999999999998
2018-2019,Alavés,2.0,1.3,Home,0.7
2018-2019,Alavés,0.0,0.3,Home,-0.3
2018-2019,Alavés,0.0,0.8,Home,-0.8
2018-2019,Alavés,2.0,1.3,Home,0.7
2018-2019,Alavés,0.0,0.3,Away,-0.3
2018-2019,Alavés,1.0,0.8,Away,0.19999999999999996
2018-2019,Alavés,5.0,1.3,Away,3.7
2018-2019,Alavés,1.0,0.9,Away,0.09999999999999998
2018-2019,Alavés,1.0,0.9,Away,0.09999999999999998
2018-2019,Alavés,1.0,0.6,Away,0.4
2018-2019,Alavés,0.0,0.4,Away,-0.4
2018-2019,Alavés,0.0,1.4,Away,-1.4
2018-2019,Alavés,1.0,0.8,Away,0.19999999999999996
2018-2019,Alavés,1.0,1.1,Away,-0.10000000000000009
2018-2019,Alavés,0.0,0.4,Away,-0.4
2018-2019,Alavés,0.0,0.6,Away,-0.6
2018-2019,Alavés,1.0,1.2,Away,-0.19999999999999996
2018-2019,Alavés,2.0,1.4,Away,0.6000000000000001
2018-2019,Alavés,3.0,2.3,Away,0.7000000000000002
2018-2019,Alavés,0.0,0.6,Away,-0.6
2018-2019,Alavés,1.0,1.4,Away,-0.3999999999999999
2018-2019,Alavés,1.0,1.3,Away,-0.30000000000000004
2018-2019,Alavés,1.0,0.8,Away,0.19999999999999996
2018-2019,Arsenal,0.0,0.5,Home,-0.5
